,id,lat,lon,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type
14365,BZ4ljtGWqW0NL+qr6ZN40w==,-34.6244304,-58.4062476,Boedo,2.0,1.0,57.0,48.0,83264.0,Departamento
14366,hKnLRwajgc/sZFpYGRljqg==,-34.6244304,-58.4062476,Boedo,2.0,1.0,57.0,48.0,88468.0,Departamento
14367,HNSzPETSKtG5WaB2cZKKpQ==,-34.6244304,-58.4062476,Boedo,2.0,1.0,57.0,48.0,80662.0,Departamento
14368,Md2XVWCw+SG0z5fGVBdihQ==,-34.6336334,-58.4608041,Flores,2.0,1.0,48.0,41.0,111000.0,Departamento
14369,q9Z2bjcgjMLOA/b0Bp6Mzg==,-34.6340579,-58.46826,Flores,2.0,1.0,35.0,35.0,75000.0,Departamento
14370,+TpVvkIpeAKqgCKcmClqVg==,-34.6083,-58.3712,Flores,2.0,1.0,35.0,35.0,75000.0,Departamento
14371,QuuruyRpaFLSW2hPuFQteg==,-34.6200579,-58.4680593,Flores,2.0,1.0,53.0,45.0,86000.0,Departamento
14372,5/epTb2ybgWeX8or6M4Skw==,-34.6302626,-58.4701118,Flores,2.0,1.0,48.0,45.0,85000.0,Departamento
14373,J1KyJkJVhirxQrTewFFm9g==,-34.5403383,-58.4739525,Nuñez,2.0,1.0,48.0,42.0,220000.0,Departamento
14374,CRAW8Y7CKfRZKQqlOCfyzA==,-34.5931307,-58.377952,Retiro,2.0,1.0,55.0,55.0,169000.0,Departamento
14375,V9mChZaigZsBBAY/Pptd2g==,-34.603645,-58.424119,Almagro,2.0,1.0,45.0,43.0,105000.0,Departamento
14376,9L87jsRRkADn/z+9bB7eVw==,-34.6029144064,-58.4143524505,Almagro,2.0,1.0,42.0,42.0,98000.0,Departamento
14377,g1VLZpa4EK5oUCQIAGsE9w==,-34.6068013,-58.4163738,Almagro,1.0,1.0,25.0,25.0,55000.0,Departamento
14378,ZjH/WUPvUJ6woca3e4k5hw==,-34.5948795,-58.4146397,Palermo,1.0,1.0,42.0,36.0,86000.0,Departamento
14379,noGiZ03B1pf74bU1pmR7Sw==,-34.5803806,-58.4349067,Palermo,2.0,2.0,63.0,55.0,195000.0,Departamento
14380,LMqjUeCu4caMJi83CH5DNg==,-34.5683941,-58.4357206,Palermo,2.0,1.0,39.0,39.0,155000.0,Departamento
14381,EcThX6NgHAIVMz4wfDz4Qg==,-34.571166,-58.4306967,Palermo,2.0,1.0,64.0,58.0,219000.0,Departamento
